PRELIST,LIST,UNDER CONTRACT
https://drive.google.com/drive/folders/1EO8b3FWCdX-SogkfpUgz3A_fyK2NQCtm?usp=drive_link,"Current list  $54,900 next change 2/22",closed for 33k 4/3
,https://matrix.marismatrix.com/matrix/shared/k0tgrD88csHd/2110HarrisAve,
