PRELIST,LISTING,UNDER CONTRACT
requested rekey for after 1/25,"list for 79,900",
"basis 90,178",https://portal.onehome.com/en-US/share/1140326R55624,
"Listed currently, agent contacted","69,900 4/25",
https://portal.onehome.com/en-US/share/1128261s07060,,
2/13 need photos then list mls ,,
