PRELIST,LISTING,UNDER CONTRACT
3/6 requested rekey,"was listed previously in current condition for 304,900",
3/16 checked on rekey,"started at 324,999, 60 days OM not under contract",
"3/16 confirmed rekey, schedule photos for 3/18",Listing photos scheduled for 4/10,
