PRELIST,LISTING,UNDER CONTRACT
find out from County staus re flood ,https://matrix.marismatrix.com/matrix/shared/tm67YtgDssHd/1603BelleauLakeDr,
"Per Kevin list at 129k, listing agreement sent to Mike","listed 129,000",
"got info from County, as well as documents from previous owner","price drop to 109,900",
"Walked property 2/2 for photos, ",next price drop 3/25,
