PRELIST,LISTING,UNDER CONTRACT
"received 1/29, sent to Kevin to rekey","Listed 119,900",
"Tenant occupied, currently paying 1200",Price change 3/24,
Jason working on tenant prior to list,,
"2/4 sendn listing agreement for 119,900",,
tenant occupied new lease for $1500 per month,,
schedule photos with Jason for Tues 2/11,,
