PRELIST,LIST,UNDER CONTRACT
https://drive.google.com/drive/folders/1Id1sa561CHbBuFjO1BMEQWKnwFOYauFz?usp=drive_link,"Current list 64,900",
,-When Paul is done with ,
, Sacremento he will box in ,
,https://matrix.marismatrix.com/matrix/shared/ffsZhWK2csHd/5174CabanneAve,
