PRELIST,LISTING,UNDER CONTRACT
https://drive.google.com/drive/folders/1le1spmPgJlw1OokwsfTzIOy-gcjXvSBk?usp=sharing,https://matrix.marismatrix.com/matrix/shared/B35lV7S4csHd/2619AnnAve,UC 1/26
,,Earnest 1/31
,,Inspections 2/10
,,Financing 2/14
,,Close 2/21
,,Need LBP from buyer-requested
,,Inspection scheduled 1/28
,,Per Buyer agent expect Mutual Release 1/29
