PRELIST,LIST,UNDER CONTRACT
https://drive.google.com/drive/folders/1BxjTAh1PfWGwz7SVii_tinl0lTvbHE8r?usp=drive_link,https://matrix.marismatrix.com/matrix/shared/YyNhLJB0csHd/7327PennsylvaniaAve,140000
,,NEED LBP
,,Earnest due 1/21
,,Financing 2/7
,,Close 2/12
,,SOLD
