PRELIST,LISTING,UNDER CONTRACT
https://drive.google.com/drive/folders/1dSviyXWJZxsvYJ2CGmBaTLX-xCv7uH1W?usp=drive_link,https://matrix.marismatrix.com/matrix/shared/MlmYl3WvcsHd/3936LexingtonAve,
,"current list 74,900",
,next price change 2/22,
